id,identity_key,ip,location,lat,lon,country,iso3,version
2313,9t7w9eCrZE1TUoFcUCctPQ1iCS29GyhdZBHJDGrAEVvV,167.172.169.192:1789,Frankfurt,50.1136,8.6797,Germany,DEU,0.10.1
2315,2PTVnbDcFsKQjmkHUihvHMhRn8FVVQpgb9t2xGPGxjvy,23.94.101.195:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2320,595wjyryAD7UFrXmArYhbPUKRydFMAUu5R51y61khUY6,134.209.200.29:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2323,Ez71V1HmxP41EtyWdepiHVYFWpeoKqa3mahUnwK7c4QW,46.101.215.4:1789,Frankfurt,50.1136,8.6797,Germany,DEU,0.10.1
2325,9KMM43AMfvjjrNW656SDcxN23b5yzB3Zo4TgDLNDKZZw,206.189.110.106:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2328,Dny1zMGsRxvniLD2ZDG57QWU1EiQQPyKtE4weKGrMbw8,[2a01:4f9:c010:6912::19]:1789,Frankfurt,50.1136,8.6797,Germany,DEU,0.10.1
2336,2PpeqvGodVZ6KHQPoht7cwa87AiWvEgssoV4FJnUTR87,[2a01:4f8:c17:e25a::3]:1789,Barcelona,41.3825,2.1769,Spain,ESP,0.10.1
2339,9bhXejZVgbywornsSaooofXr7VZH6pYbYjXeiWZDZqQf,188.40.243.154:1789,Berlin,52.5167,13.3833,Germany,DEU,0.10.1
2341,FHRo2HAqJnRDdZqexBLGE87Urzw7YH5pbTeAhCHRMTrK,161.97.71.34:1789,Nuremberg,49.4528,11.0778,Germany,DEU,0.10.1
2347,Ays497QQZrubMNXoyzJwqfwNTTGRjAcvmZBW3eWqkFeJ,49.12.39.158:1789,Falkenstein,50.4667,12.3667,Germany,DEU,0.10.1
2351,BgCVCEShyjCxiV7G6ACPB8wB3ZbijV9KqphCtuakbF2e,188.166.63.185:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2353,4powUHDqu5HiiSYdemQtF71F6TRrqKMPp3xo4TojHX5a,188.166.118.38:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2354,8E33MSsuWfEkrekh3qbMAdJTCExkove3dkfcE8NAMxL3,217.69.13.5:1789,Paris,48.8566,2.3522,France,FRA,0.10.1
2355,5L6DjcttT7ygcRzFDYTTgbcmpdfdZbsViF716i8mf1a8,178.62.240.227:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2359,7cJU5VxeZ3QTYbFBQ9TJyL3tsbHaSXEsN3DRVPRbqFcH,130.61.93.131:1789,Frankfurt,50.1136,8.6797,Germany,DEU,0.10.1
2360,4u9aopPVLypWUvwtNqk83q4GEEEoFUxdx7xBHorPZCsY,178.62.223.93:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2361,CxuF2MU4L5GxTdx7NmoGSY64RbVnG2J1X9S6EkwgrQjt,88.198.75.233:1789,Nuremberg,49.4528,11.0778,Germany,DEU,0.10.1
2365,76iQuXwPSMhBuPHxoVyZqLaCuKxws85uuPbSZGdGjb6x,139.177.179.169:1789,Frankfurt,50.1136,8.6797,Germany,DEU,0.10.1
2366,9jaXVrxHgdiFksSFaHg9AZJxXc3y4G8twMNpSApH9tsu,144.202.15.141:1789,Nuremberg,49.4528,11.0778,Germany,DEU,0.10.1
2367,29MWayDEKE5j8joP7veb7XrCko6M44F72cdLLYP3kh4q,162.55.160.66:1789,Falkenstein,50.4667,12.3667,Germany,DEU,0.10.1
2368,GpxoJ3RK6ZAvTGJ4kTJrGcPUxwjGmcj6oS2CsYKcUZbi,174.138.4.161:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2371,D1fbfKGBJcbCZ3iq4yetr7VtbsgBYPFbxAgsJuiMBfVk,116.203.115.11:1789,Nuremberg,49.4528,11.0778,Germany,DEU,0.10.1
2374,5VGnpjWcSXpXpbAuxrBXiBSoTHzhN63K3VVddNzoxQL8,134.122.55.176:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2375,CBgALpavbtg7SBJ5xo7Ce3JLwhEbHdtCE7vN7JxW9HMm,207.154.210.26:1789,London,51.5072,-0.1275,United Kingdom,GBR,0.10.1
2376,6nnmsfkgvo35WMrog1DzH9KE6qjCRm2j5hCpoAsk1eXL,188.166.96.42:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2377,ESD5PVtkQhWi7RCbwWsD8MAvTxNwrGRSp7kRurwghvjF,167.99.220.91:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2378,D6h79ZvTfRJNJCMQsUgWAoPnqmWTe1du4AdNMKEaambt,134.122.61.101:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2379,6vfT5SoC6EXaviZw6UeDrTocvyQzXSDFZYmn7XvdkSon,[2a01:4f9:c010:ddc9::12]:1789,Berlin,52.5167,13.3833,Germany,DEU,0.10.1
2382,B4dNfVR6hDesDcmP9hQqtc8y24Jt9vz8mTDTw8P2dGTC,[2a01:4f9:c010:8ef8::27]:1789,Berlin,52.5167,13.3833,Germany,DEU,0.10.1
2387,DWdNUVXiJ73ZvMbQf8gxYp96mM3RFXg8uUgCYNu98ksp,108.61.173.185:1789,London,51.5072,-0.1275,United Kingdom,GBR,0.10.1
2396,FDBstmcQzaRX8Jc7yn2ubirpTvasLeZUbsocDA6QXDav,46.101.75.90:1789,London,51.5072,-0.1275,United Kingdom,GBR,0.10.1
2398,EoFYPV6KurxRqBnK67VxHhgRUpquYKf8UxPjGLr79YrC,207.154.203.119:1789,Frankfurt,50.1136,8.6797,Germany,DEU,0.10.1
2401,8k2y7zyaSJbTAdb51yCQvdXSz6Mj7ogLWkc2AssazQQC,206.189.10.31:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
2402,DAqaDPJepGY4hUzBup4Aj3TWRDXztFj9skh8JXbdc69w,167.71.47.29:1789,Frankfurt,50.1136,8.6797,Germany,DEU,0.10.1
2410,Gyqvps34pQNPWk7RSbEWHJCwBkQkDhekZM5gNuamp77n,167.71.9.204:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
